,Termin,Program/kurs,Utbildningens namn,Anm.kod,Univ/högskola,Totalt antal sökande,1:a handssökande,Kvinnor 1:a hand,Kvinnor totalt,Män 1:a hand,Män totalt,25-34 1:a hand,25-34 totalt,<= 24 1:a hand,<= 24 totalt,>=35 1:a hand,>=35 totalt,BI,BII,HP
1139,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,87,240,154,540,38,79,17.90,17.95,0.75
1140,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,87,240,154,540,38,79,17.90,17.95,1.00
1141,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,16,130,23,265,4,21,16.41,16.86,0.75
1142,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,16,130,23,265,4,21,16.41,16.86,1.00
1143,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,16,130,23,265,4,21,16.41,17.95,0.75
1144,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,16,130,23,265,4,21,16.41,17.95,1.00
1145,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,16,130,23,265,4,21,17.90,16.86,0.75
1146,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,16,130,23,265,4,21,17.90,16.86,1.00
1147,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,16,130,23,265,4,21,17.90,17.95,0.75
1148,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,16,130,23,265,4,21,17.90,17.95,1.00
1149,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,87,240,154,540,38,79,16.41,16.86,0.75
1150,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,87,240,154,540,38,79,16.41,16.86,1.00
1151,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,87,240,154,540,38,79,16.41,17.95,0.75
1152,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,87,240,154,540,38,79,16.41,17.95,1.00
